size,trial,train_tp,train_fn,train_fp,train_tn,test_tp,test_fn,test_fp,test_tn,tree_size,tree_depth,root_attribute
80,0,47,0,0,33,13,0,0,7,23,5,Safe Situation
80,1,48,0,0,32,12,0,3,5,23,5,Safe Situation
80,2,53,0,0,27,7,0,0,13,23,5,Safe Situation
80,3,46,0,0,34,14,0,0,6,23,5,Safe Situation
80,4,46,0,0,34,14,0,0,6,23,5,Safe Situation
80,5,49,0,0,31,10,1,2,7,23,5,Safe Situation
80,6,46,0,0,34,14,0,0,6,23,5,Safe Situation
80,7,49,0,0,31,11,0,0,9,23,5,Safe Situation
80,8,45,0,0,35,15,0,0,5,23,5,Safe Situation
80,9,47,0,0,33,13,0,0,7,25,6,Safe Situation
80,10,48,0,0,32,12,0,0,8,23,5,Safe Situation
80,11,47,0,0,33,13,0,0,7,23,5,Safe Situation
80,12,49,0,0,31,11,0,0,9,23,5,Safe Situation
80,13,51,0,0,29,9,0,0,11,23,5,Safe Situation
80,14,50,0,0,30,10,0,0,10,25,6,Safe Situation
80,15,50,0,0,30,10,0,0,10,25,6,Safe Situation
80,16,48,0,0,32,10,2,4,4,23,5,Safe Situation
80,17,46,0,0,34,11,3,1,5,23,5,Safe Situation
80,18,48,0,0,32,12,0,0,8,23,5,Safe Situation
80,19,46,0,0,34,14,0,0,6,23,5,Safe Situation
80,20,50,0,0,30,10,0,1,9,25,6,Safe Situation
80,21,47,0,0,33,13,0,0,7,23,5,Safe Situation
80,22,50,0,0,30,10,0,0,10,23,5,Safe Situation
80,23,49,0,0,31,11,0,0,9,23,5,Safe Situation
80,24,47,0,0,33,13,0,0,7,23,5,Safe Situation
80,25,49,0,0,31,11,0,0,9,23,5,Safe Situation
80,26,49,0,0,31,11,0,0,9,23,5,Safe Situation
80,27,45,0,0,35,15,0,0,5,23,5,Safe Situation
80,28,47,0,0,33,13,0,0,7,23,5,Safe Situation
80,29,49,0,0,31,11,0,0,9,23,5,Safe Situation
80,30,48,0,0,32,12,0,3,5,23,5,Safe Situation
80,31,47,0,0,33,13,0,0,7,23,5,Safe Situation
80,32,46,0,0,34,14,0,0,6,23,5,Safe Situation
80,33,49,0,0,31,11,0,2,7,23,5,Safe Situation
80,34,48,0,0,32,12,0,0,8,23,5,Safe Situation
80,35,50,0,0,30,9,1,1,9,23,5,Safe Situation
80,36,51,0,0,29,7,2,0,11,17,5,Safe Situation
80,37,48,0,0,32,12,0,0,8,23,5,Safe Situation
80,38,49,0,0,31,11,0,0,9,23,5,Safe Situation
80,39,47,0,0,33,13,0,0,7,23,5,Safe Situation
80,40,48,0,0,32,12,0,0,8,23,5,Safe Situation
80,41,50,0,0,30,10,0,0,10,23,5,Safe Situation
80,42,51,0,0,29,7,2,1,10,23,5,Safe Situation
80,43,45,0,0,35,15,0,0,5,23,5,Safe Situation
80,44,48,0,0,32,12,0,0,8,23,5,Safe Situation
80,45,47,0,0,33,13,0,0,7,23,5,Safe Situation
80,46,49,0,0,31,11,0,0,9,23,5,Safe Situation
80,47,48,0,0,32,12,0,0,8,23,5,Safe Situation
80,48,50,0,0,30,10,0,0,10,23,5,Safe Situation
80,49,47,0,0,33,13,0,0,7,23,5,Safe Situation
